Initialize buffers
//rem 2026-03-09 Copilot: DEBUG AUDIT applied b[00][14] CRC DID_HB fix, voltage byte offset fix, UDS PCI fix.
//rem 2026-03-11 Copilot: ARXML-compliant. VehTi field packing: Year-12b, Month-4b, Day-6b, Hr-5b, Min-6b, Sec-7b (see code).
[7712] Startup initiated
[8262] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: BB 67 00 01 FF FF FF FF CRC:0xBB
[8262] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: F9 57 8C F8 00 F8 FF FF CRC:0xF9
[8268] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[8278] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8288] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[8298] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[8308] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[8318] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[8328] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[8338] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[8348] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[8358] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[8362] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 3D 68 00 01 FF FF FF FF CRC:0x3D
[8362] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 85 58 8C F8 00 F8 FF FF CRC:0x85
[8368] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[8378] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[8388] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[8398] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[8408] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[8418] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8428] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[8438] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[8448] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[8458] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[8462] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: B2 69 00 01 FF FF FF FF CRC:0xB2
[8462] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: EF 59 8C F8 00 F8 FF FF CRC:0xEF
[8468] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[8478] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[8488] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[8498] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[8508] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[8518] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[8528] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[8538] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[8548] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[8558] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8562] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 3E 6A 00 01 FF FF FF FF CRC:0x3E
[8562] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 51 5A 8C F8 00 F8 FF FF CRC:0x51
[8568] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[8578] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[8588] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[8598] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[8608] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[8618] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[8628] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[8638] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[8648] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[8658] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[8662] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: B1 6B 00 01 FF FF FF FF CRC:0xB1
[8662] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 3B 5B 8C F8 00 F8 FF FF CRC:0x3B
[8668] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[8678] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[8688] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[8698] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8708] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[8718] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[8728] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[8738] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[8748] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[8758] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[8762] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 3B 6C 00 01 FF FF FF FF CRC:0x3B
[8762] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 30 5C 8C F8 00 F8 FF FF CRC:0x30
[8767] TX-VEHTIME CAN ID: 0x600 Len: 8 Data: BB 37 2D 80 08 00 00 00 CRC:0xBB
[8774] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[8784] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[8794] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[8804] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[8814] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[8824] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[8834] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[8844] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8854] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[8862] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: B4 6D 00 01 FF FF FF FF CRC:0xB4
[8862] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 5A 5D 8C F8 00 F8 FF FF CRC:0x5A
[8864] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[8874] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[8884] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[8894] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[8904] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[8914] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[8924] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[8934] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[8944] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[8954] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[8962] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 38 6E 00 01 FF FF FF FF CRC:0x38
[8962] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: E4 5E 8C F8 00 F8 FF FF CRC:0xE4
[8964] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[8974] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[8984] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[8994] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[9004] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[9014] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[9024] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[9034] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[9044] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[9054] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[9062] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: BE 61 00 01 FF FF FF FF CRC:0xBE
[9062] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 98 51 8C F8 00 F8 FF FF CRC:0x98
[9064] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[9074] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[9084] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[9094] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[9104] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[9114] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[9124] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[9134] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[9144] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[9154] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[9162] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 32 62 00 01 FF FF FF FF CRC:0x32
[9162] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 26 52 8C F8 00 F8 FF FF CRC:0x26
[9164] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[9174] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[9184] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[9194] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[9204] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[9212] WAKE asserted
[9212] TX-UDS-SESSION CAN ID: 0x7E0 Len: 8 Data: 02 10 03 AA AA AA AA AA CRC:0x02
[9262] TX-UDS-CLEAR CAN ID: 0x7E0 Len: 8 Data: 04 14 FF FF FF AA AA AA CRC:0x04
//rem 2026-03-11 WARNING: No UDS response (0x7E8) seen after fault clear. Battery relay may NOT close.
[10062] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[10066] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: BD 63 00 01 FF FF FF FF CRC:0xBD
[10073] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 4C 53 8C F8 00 F8 FF FF CRC:0x4C
[10080] TX-VEHTIME CAN ID: 0x600 Len: 8 Data: 23 37 2D 80 0A 00 00 00 CRC:0x23
[10087] Pack Voltage (decoded): 153.700  RAW 0x136: BA 20 01 16 00 00 90 FF
[10093] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[10100] Pack Voltage (decoded): 153.700  RAW 0x136: FC 21 01 16 00 00 90 FF
[10107] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[10114] Pack Voltage (decoded): 153.700  RAW 0x136: 36 22 01 16 00 00 90 FF
[10121] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[10127] Pack Voltage (decoded): 153.700  RAW 0x136: 70 23 01 16 00 00 90 FF
[10134] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[10141] Pack Voltage (decoded): 153.700  RAW 0x136: BF 24 01 16 00 00 90 FF
[10148] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[10155] RX CAN ID: 0x131 Len: 8 Data: 7F 4E 00 00 E8 03 43 00
[10160] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[10167] RX CAN ID: 0x130 Len: 8 Data: 31 1E 00 FA A0 F1 0A FF
[10172] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: A9 8D 05 FF FF FF FF FF CRC:0xA9
[10179] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: 37 64 00 01 FF FF FF FF CRC:0x37
[10186] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 47 54 8C F8 00 F8 FF FF CRC:0x47
[10193] Pack Voltage (decoded): 153.700  RAW 0x136: 33 26 01 16 00 00 90 FF
[10199] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 7D 8E 05 FF FF FF FF FF CRC:0x7D
[10206] Pack Voltage (decoded): 153.700  RAW 0x136: 75 27 01 16 00 00 90 FF
[10213] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: DE 81 05 FF FF FF FF FF CRC:0xDE
[10220] Pack Voltage (decoded): 153.700  RAW 0x136: B0 28 01 16 00 00 90 FF
[10227] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 0A 82 05 FF FF FF FF FF CRC:0x0A
[10233] Pack Voltage (decoded): 153.700  RAW 0x136: F6 29 01 16 00 00 90 FF
[10240] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 46 83 05 FF FF FF FF FF CRC:0x46
[10247] RX CAN ID: 0x131 Len: 8 Data: 59 47 00 00 E3 02 43 00
[10252] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: BF 84 05 FF FF FF FF FF CRC:0xBF
[10259] RX CAN ID: 0x130 Len: 8 Data: 3C 17 AA FA A0 F1 0A FF
[10265] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: F3 85 05 FF FF FF FF FF CRC:0xF3
[10272] RX CAN ID: 0x134 Len: 8 Data: 5C 37 E6 0F 55 FF FF FF
[10277] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 27 86 05 FF FF FF FF FF CRC:0x27
[10284] TX-CTLCMD CAN ID: 0x60F Len: 8 Data: B8 65 00 01 FF FF FF FF CRC:0xB8
[10291] TX-VEHINFO CAN ID: 0x5B0 Len: 8 Data: 2D 55 8C F8 00 F8 FF FF CRC:0x2D
[10298] Pack Voltage (decoded): 153.700  RAW 0x136: 3C 2A 01 16 00 00 90 FF
[10304] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 6B 87 05 FF FF FF FF FF CRC:0x6B
[10311] Pack Voltage (decoded): 153.700  RAW 0x136: 7A 2B 01 16 00 00 90 FF
[10318] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: C8 88 05 FF FF FF FF FF CRC:0xC8
[10325] Pack Voltage (decoded): 153.700  RAW 0x136: B5 2C 01 16 00 00 90 FF
[10331] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 84 89 05 FF FF FF FF FF CRC:0x84
[10338] Pack Voltage (decoded): 153.700  RAW 0x136: F3 2D 01 16 00 00 90 FF
[10345] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 50 8A 05 FF FF FF FF FF CRC:0x50
[10352] Pack Voltage (decoded): 153.700  RAW 0x136: 39 2E 01 16 00 00 90 FF
[10358] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: 1C 8B 05 FF FF FF FF FF CRC:0x1C
[10365] RX CAN ID: 0x700 Len: 8 Data: 00 00 00 00 00 00 FF FF
[10371] TX-SFTYINFO CAN ID: 0x8BF Len: 8 Data: E5 8C 05 FF FF FF FF FF CRC:0xE5
[10378] RX CAN ID: 0x701 Len: 8 Data: 2E 46 53 2E 46 53 FF FF
