Index	Direction	Time Mark	Status	Alias	Frame ID	Format	Type	DLC	Data	
64	Receive	20:23:34.267			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
65	Receive	20:23:34.277			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
66	Receive	20:23:34.287			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
67	Receive	20:23:34.297			0x0000060F	Data Frame	Extern Frame	0x08	C7 66 10 01 FF FF FF FF 	
68	Receive	20:23:34.297			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
69	Receive	20:23:34.297			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
70	Receive	20:23:34.297			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
71	Receive	20:23:34.307			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
72	Receive	20:23:34.317			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
73	Receive	20:23:34.327			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
74	Receive	20:23:34.337			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
75	Receive	20:23:34.347			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
76	Receive	20:23:34.357			0x000008BF	Data Frame	Extern Frame	0x08	60 8C 05 FF FF FF FF FF 	
77	Receive	20:23:34.367			0x000008BF	Data Frame	Extern Frame	0x08	3D 8D 05 FF FF FF FF FF 	
78	Receive	20:23:34.377			0x000008BF	Data Frame	Extern Frame	0x08	DA 8E 05 FF FF FF FF FF 	
79	Receive	20:23:34.387			0x000008BF	Data Frame	Extern Frame	0x08	DB 80 05 FF FF FF FF FF 	
80	Receive	20:23:34.397			0x0000060F	Data Frame	Extern Frame	0x08	9A 67 10 01 FF FF FF FF 	
81	Receive	20:23:34.397			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
82	Receive	20:23:34.397			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
83	Receive	20:23:34.397			0x000008BF	Data Frame	Extern Frame	0x08	86 81 05 FF FF FF FF FF 	
84	Receive	20:23:34.407			0x000008BF	Data Frame	Extern Frame	0x08	61 82 05 FF FF FF FF FF 	
85	Receive	20:23:34.417			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
86	Receive	20:23:34.427			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
87	Receive	20:23:34.437			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
88	Receive	20:23:34.447			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
89	Receive	20:23:34.456			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
90	Receive	20:23:34.466			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
91	Receive	20:23:34.476			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
92	Receive	20:23:34.486			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
93	Receive	20:23:34.496			0x0000060F	Data Frame	Extern Frame	0x08	C6 68 10 01 FF FF FF FF 	
94	Receive	20:23:34.496			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
95	Receive	20:23:34.496			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
96	Receive	20:23:34.496			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
97	Receive	20:23:34.506			0x000008BF	Data Frame	Extern Frame	0x08	60 8C 05 FF FF FF FF FF 	
98	Receive	20:23:34.516			0x000008BF	Data Frame	Extern Frame	0x08	3D 8D 05 FF FF FF FF FF 	
99	Receive	20:23:34.526			0x000008BF	Data Frame	Extern Frame	0x08	DA 8E 05 FF FF FF FF FF 	
100	Receive	20:23:34.536			0x000008BF	Data Frame	Extern Frame	0x08	DB 80 05 FF FF FF FF FF 	
101	Receive	20:23:34.546			0x000008BF	Data Frame	Extern Frame	0x08	86 81 05 FF FF FF FF FF 	
102	Receive	20:23:34.556			0x000008BF	Data Frame	Extern Frame	0x08	61 82 05 FF FF FF FF FF 	
103	Receive	20:23:34.566			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
104	Receive	20:23:34.576			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
105	Receive	20:23:34.588			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
106	Receive	20:23:34.596			0x0000060F	Data Frame	Extern Frame	0x08	9B 69 10 01 FF FF FF FF 	
107	Receive	20:23:34.596			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
108	Receive	20:23:34.596			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
109	Receive	20:23:34.596			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
110	Receive	20:23:34.608			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
111	Receive	20:23:34.618			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
112	Receive	20:23:34.628			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
113	Receive	20:23:34.638			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
114	Receive	20:23:34.648			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
115	Receive	20:23:34.658			0x000008BF	Data Frame	Extern Frame	0x08	60 8C 05 FF FF FF FF FF 	
116	Receive	20:23:34.668			0x000008BF	Data Frame	Extern Frame	0x08	3D 8D 05 FF FF FF FF FF 	
117	Receive	20:23:34.678			0x000008BF	Data Frame	Extern Frame	0x08	DA 8E 05 FF FF FF FF FF 	
118	Receive	20:23:34.688			0x000008BF	Data Frame	Extern Frame	0x08	DB 80 05 FF FF FF FF FF 	
119	Receive	20:23:34.698			0x0000060F	Data Frame	Extern Frame	0x08	7C 6A 10 01 FF FF FF FF 	
120	Receive	20:23:34.698			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
121	Receive	20:23:34.698			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
122	Receive	20:23:34.698			0x000008BF	Data Frame	Extern Frame	0x08	86 81 05 FF FF FF FF FF 	
123	Receive	20:23:34.708			0x000008BF	Data Frame	Extern Frame	0x08	61 82 05 FF FF FF FF FF 	
124	Receive	20:23:34.718			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
125	Receive	20:23:34.728			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
126	Receive	20:23:34.738			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
127	Receive	20:23:34.748			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
128	Receive	20:23:34.758			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
129	Receive	20:23:34.768			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
130	Receive	20:23:34.777			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
131	Receive	20:23:34.787			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
132	Receive	20:23:34.797			0x00000600	Data Frame	Extern Frame	0x08	43 07 03 0C 60 00 00 FF 	
133	Receive	20:23:34.797			0x00000720	Data Frame	Extern Frame	0x08	2A 01 FF FF FF FF FF FF 	
134	Receive	20:23:34.797			0x0000060F	Data Frame	Extern Frame	0x08	21 6B 10 01 FF FF FF FF 	
135	Receive	20:23:34.797			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
136	Receive	20:23:34.797			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
137	Receive	20:23:34.797			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
138	Receive	20:23:34.807			0x000008BF	Data Frame	Extern Frame	0x08	60 8C 05 FF FF FF FF FF 	
139	Receive	20:23:34.817			0x000008BF	Data Frame	Extern Frame	0x08	3D 8D 05 FF FF FF FF FF 	
140	Receive	20:23:34.827			0x000008BF	Data Frame	Extern Frame	0x08	DA 8E 05 FF FF FF FF FF 	
141	Receive	20:23:34.837			0x000008BF	Data Frame	Extern Frame	0x08	DB 80 05 FF FF FF FF FF 	
142	Receive	20:23:34.847			0x000008BF	Data Frame	Extern Frame	0x08	86 81 05 FF FF FF FF FF 	
143	Receive	20:23:34.857			0x000008BF	Data Frame	Extern Frame	0x08	61 82 05 FF FF FF FF FF 	
144	Receive	20:23:34.867			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
145	Receive	20:23:34.877			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
146	Receive	20:23:34.887			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
147	Receive	20:23:34.897			0x0000060F	Data Frame	Extern Frame	0x08	AF 6C 10 01 FF FF FF FF 	
148	Receive	20:23:34.897			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
149	Receive	20:23:34.897			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
150	Receive	20:23:34.897			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
151	Receive	20:23:34.907			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
152	Receive	20:23:34.917			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
153	Receive	20:23:34.927			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
154	Receive	20:23:34.937			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
155	Receive	20:23:34.947			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
156	Receive	20:23:34.957			0x000008BF	Data Frame	Extern Frame	0x08	60 8C 05 FF FF FF FF FF 	
157	Receive	20:23:34.967			0x000008BF	Data Frame	Extern Frame	0x08	3D 8D 05 FF FF FF FF FF 	
158	Receive	20:23:34.977			0x000008BF	Data Frame	Extern Frame	0x08	DA 8E 05 FF FF FF FF FF 	
159	Receive	20:23:34.987			0x000008BF	Data Frame	Extern Frame	0x08	DB 80 05 FF FF FF FF FF 	
160	Receive	20:23:34.997			0x0000060F	Data Frame	Extern Frame	0x08	F2 6D 10 01 FF FF FF FF 	
161	Receive	20:23:34.997			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
162	Receive	20:23:34.997			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
163	Receive	20:23:34.997			0x000008BF	Data Frame	Extern Frame	0x08	86 81 05 FF FF FF FF FF 	
164	Receive	20:23:35.007			0x000008BF	Data Frame	Extern Frame	0x08	61 82 05 FF FF FF FF FF 	
165	Receive	20:23:35.017			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
166	Receive	20:23:35.027			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
167	Receive	20:23:35.037			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
168	Receive	20:23:35.047			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
169	Receive	20:23:35.057			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
170	Receive	20:23:35.067			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
171	Receive	20:23:35.077			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
172	Receive	20:23:35.087			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
173	Receive	20:23:35.097			0x0000060F	Data Frame	Extern Frame	0x08	15 6E 10 01 FF FF FF FF 	
174	Receive	20:23:35.097			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
175	Receive	20:23:35.097			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
176	Receive	20:23:35.097			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
177	Receive	20:23:35.107			0x000008BF	Data Frame	Extern Frame	0x08	60 8C 05 FF FF FF FF FF 	
178	Receive	20:23:35.117			0x000008BF	Data Frame	Extern Frame	0x08	3D 8D 05 FF FF FF FF FF 	
179	Receive	20:23:35.127			0x000008BF	Data Frame	Extern Frame	0x08	DA 8E 05 FF FF FF FF FF 	
180	Receive	20:23:35.137			0x000008BF	Data Frame	Extern Frame	0x08	DB 80 05 FF FF FF FF FF 	
181	Receive	20:23:35.147			0x000008BF	Data Frame	Extern Frame	0x08	86 81 05 FF FF FF FF FF 	
182	Receive	20:23:35.156			0x000008BF	Data Frame	Extern Frame	0x08	61 82 05 FF FF FF FF FF 	
183	Receive	20:23:35.168			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
184	Receive	20:23:35.178			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
185	Receive	20:23:35.188			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
186	Receive	20:23:35.196			0x0000060F	Data Frame	Extern Frame	0x08	14 60 10 01 FF FF FF FF 	
187	Receive	20:23:35.196			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
188	Receive	20:23:35.196			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
189	Receive	20:23:35.196			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
190	Receive	20:23:35.208			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
191	Receive	20:23:35.218			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
192	Receive	20:23:35.228			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
193	Receive	20:23:35.238			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
194	Receive	20:23:35.248			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
195	Receive	20:23:35.259			0x000008BF	Data Frame	Extern Frame	0x08	60 8C 05 FF FF FF FF FF 	
196	Receive	20:23:35.267			0x000008BF	Data Frame	Extern Frame	0x08	3D 8D 05 FF FF FF FF FF 	
197	Receive	20:23:35.277			0x000008BF	Data Frame	Extern Frame	0x08	DA 8E 05 FF FF FF FF FF 	
198	Receive	20:23:35.287			0x000008BF	Data Frame	Extern Frame	0x08	DB 80 05 FF FF FF FF FF 	
199	Receive	20:23:35.297			0x0000060F	Data Frame	Extern Frame	0x08	49 61 10 01 FF FF FF FF 	
200	Receive	20:23:35.297			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
201	Receive	20:23:35.297			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
202	Receive	20:23:35.297			0x000008BF	Data Frame	Extern Frame	0x08	86 81 05 FF FF FF FF FF 	
203	Receive	20:23:35.307			0x000008BF	Data Frame	Extern Frame	0x08	61 82 05 FF FF FF FF FF 	
204	Receive	20:23:35.317			0x000008BF	Data Frame	Extern Frame	0x08	3C 83 05 FF FF FF FF FF 	
205	Receive	20:23:35.327			0x000008BF	Data Frame	Extern Frame	0x08	B2 84 05 FF FF FF FF FF 	
206	Receive	20:23:35.333			0x00000136	Data Frame	Extern Frame	0x08	BF 24 01 16 00 00 90 FF 	
207	Receive	20:23:35.337			0x000008BF	Data Frame	Extern Frame	0x08	EF 85 05 FF FF FF FF FF 	
208	Receive	20:23:35.337			0x00000700	Data Frame	Extern Frame	0x08	00 00 00 00 00 00 FF FF 	
209	Receive	20:23:35.337			0x00000701	Data Frame	Extern Frame	0x08	2C 56 53 2C 56 53 FF FF 	
210	Receive	20:23:35.337			0x00000702	Data Frame	Extern Frame	0x08	4B 80 9C 00 FF FF FF FF 	
211	Receive	20:23:35.337			0x00000703	Data Frame	Extern Frame	0x08	00 00 C0 FF FF FF FF FF 	
212	Receive	20:23:35.337			0x00000704	Data Frame	Extern Frame	0x08	EC 86 6E FF FF FF FF FF 	
213	Receive	20:23:35.341			0x00000710	Data Frame	Extern Frame	0x08	00 00 00 00 02 00 FF FF 	
214	Receive	20:23:35.341			0x00000711	Data Frame	Extern Frame	0x08	08 00 08 00 00 FC FF FF 	
215	Receive	20:23:35.341			0x00000712	Data Frame	Extern Frame	0x08	07 00 03 00 02 00 FF FF 	
216	Receive	20:23:35.341			0x00000713	Data Frame	Extern Frame	0x08	01 00 00 00 00 00 FF FF 	
217	Receive	20:23:35.341			0x00000714	Data Frame	Extern Frame	0x08	00 00 00 00 00 00 FF FF 	
218	Receive	20:23:35.341			0x00000715	Data Frame	Extern Frame	0x08	00 00 00 00 00 00 FF FF 	
219	Receive	20:23:35.341			0x00000720	Data Frame	Extern Frame	0x08	80 00 80 87 FF FF FF FF 	
220	Receive	20:23:35.341			0x00000721	Data Frame	Extern Frame	0x08	FC FE FF FF FF FF FF FF 	
221	Receive	20:23:35.341			0x00000725	Data Frame	Extern Frame	0x08	00 00 00 00 00 00 00 00 	
222	Receive	20:23:35.345			0x00000131	Data Frame	Extern Frame	0x08	7F 4E 00 00 E8 03 43 00 	
223	Receive	20:23:35.345			0x00000130	Data Frame	Extern Frame	0x08	31 1E 00 FA A0 F1 0A FF 	
224	Receive	20:23:35.345			0x00000134	Data Frame	Extern Frame	0x08	AB 3E E8 FF 54 FF FF FF 	
225	Receive	20:23:35.345			0x00000136	Data Frame	Extern Frame	0x08	F9 25 01 16 00 00 90 FF 	
226	Receive	20:23:35.349			0x000008BF	Data Frame	Extern Frame	0x08	08 86 05 FF FF FF FF FF 	
227	Receive	20:23:35.355			0x00000136	Data Frame	Extern Frame	0x08	33 26 01 16 00 00 90 FF 	
228	Receive	20:23:35.359			0x000008BF	Data Frame	Extern Frame	0x08	55 87 05 FF FF FF FF FF 	
229	Receive	20:23:35.365			0x00000136	Data Frame	Extern Frame	0x08	75 27 01 16 00 00 90 FF 	
230	Receive	20:23:35.369			0x000008BF	Data Frame	Extern Frame	0x08	09 88 05 FF FF FF FF FF 	
231	Receive	20:23:35.375			0x00000136	Data Frame	Extern Frame	0x08	B0 28 01 16 00 00 90 FF 	
232	Receive	20:23:35.379			0x000008BF	Data Frame	Extern Frame	0x08	54 89 05 FF FF FF FF FF 	
233	Receive	20:23:35.385			0x00000136	Data Frame	Extern Frame	0x08	F6 29 01 16 00 00 90 FF 	
234	Receive	20:23:35.389			0x000008BF	Data Frame	Extern Frame	0x08	B3 8A 05 FF FF FF FF FF 	
235	Receive	20:23:35.395			0x00000136	Data Frame	Extern Frame	0x08	3C 2A 01 16 00 00 90 FF 	
236	Receive	20:23:35.395			0x0000060F	Data Frame	Extern Frame	0x08	AE 62 10 01 FF FF FF FF 	
237	Receive	20:23:35.395			0x000005B0	Data Frame	Extern Frame	0x08	FE 14 00 FF FF FF FF FF 	
238	Receive	20:23:35.395			0x00000701	Data Frame	Extern Frame	0x08	DB FF FF FF FF FF FF FF 	
239	Receive	20:23:35.399			0x000008BF	Data Frame	Extern Frame	0x08	EE 8B 05 FF FF FF FF FF 	
240	Receive	20:23:35.403			0x00000136	Data Frame	Extern Frame	0x08	7A 2B 01 16 00 00 90 FF 	
